0.088,0.1703,0.0823,0.1179,0.2537,0.1358,0.096,0.336,0.2401,0.0799,0.344,0.2641,0.1119,0.2399,0.1281,0.0799,0.2,0.12,0.088,0.36,0.272,0.104,0.208,0.104,0.088
0.096,0.176,0.08,0.072,0.28,0.208,0.088,0.384,0.2961,0.1199,0.352,0.2321,0.1244,0.312,0.1876,0.0879,0.2,0.1121,0.0719,0.216,0.1441,0.0881,0.208,0.1199,0.064
0.0799,0.208,0.1281,0.0801,0.264,0.1839,0.08,0.5039,0.424,0.104,0.3943,0.2903,0.0777,0.3178,0.24,0.088,0.208,0.1201,0.072,0.288,0.216,0.072,0.232,0.16,0.08
0.0959,0.192,0.0961,0.08,0.2639,0.184,0.072,0.24,0.168,0.088,0.3121,0.2241,0.0799,0.296,0.2161,0.0639,0.1359,0.072,0.088,0.2881,0.2001,0.0969,0.2079,0.111,0.08
0.08,0.168,0.088,0.088,0.256,0.168,0.0799,0.296,0.216,0.088,0.32,0.2321,0.0879,0.2719,0.184,0.072,0.152,0.08,0.0799,0.176,0.0961,0.072,0.216,0.144,0.072
0.0951,0.2311,0.136,0.0803,0.2646,0.1842,0.0874,0.2795,0.192,0.096,0.28,0.184,0.1041,0.4082,0.3041,0.0799,0.1678,0.0879,0.096,0.52,0.424,0.0799,0.192,0.1121,0.0799
0.0799,0.2,0.12,0.088,0.2721,0.1841,0.0879,0.3519,0.2641,0.1121,0.384,0.272,0.0959,0.264,0.1681,0.0719,0.192,0.1201,0.0799,0.32,0.24,0.08,0.192,0.112,0.08
0.0998,0.1383,0.0385,0.1159,0.2447,0.1288,0.1213,0.3656,0.2443,0.1031,0.2972,0.1941,0.1345,0.2524,0.118,0.0725,0.192,0.1195,0.1003,0.2188,0.1185,0.0677,0.1679,0.1002,0.088
0.105,0.21,0.1051,0.1062,0.2487,0.1425,0.1057,0.3507,0.245,0.0943,0.3556,0.2613,0.1008,0.2243,0.1234,0.0725,0.2214,0.1489,0.106,0.3119,0.2059,0.096,0.191,0.095,0.0822
0.0991,0.1898,0.0907,0.1071,0.2711,0.1641,0.1041,0.3675,0.2634,0.0975,0.3582,0.2607,0.0976,0.2528,0.1552,0.0739,0.2403,0.1664,0.0777,0.2951,0.2173,0.0911,0.184,0.0929,0.0793
0.0984,0.1836,0.0852,0.1077,0.5462,0.4384,0.0954,0.5317,0.4363,0.096,0.3352,0.2393,0.1077,0.3186,0.2109,0.0844,0.2297,0.1453,0.1143,0.2434,0.1291,0.0994,0.1985,0.0991,0.0829
0.0879,0.2,0.112,0.0882,0.2575,0.1693,0.0788,0.3273,0.2485,0.0879,0.3758,0.2879,0.104,0.2797,0.1756,0.0801,0.2492,0.1691,0.0705,0.2318,0.1612,0.0631,0.176,0.113,0.0711
0.0789,0.1838,0.1049,0.0871,0.2559,0.1688,0.0788,0.2951,0.2163,0.0801,0.3289,0.2488,0.0875,0.3359,0.2485,0.0792,0.2152,0.136,0.0716,0.2717,0.2001,0.064,0.1844,0.1204,0.0724
0.0871,0.2,0.1129,0.0794,0.2482,0.1688,0.0709,0.3359,0.265,0.0949,0.3426,0.2477,0.104,0.296,0.1921,0.0727,0.2015,0.1288,0.0708,0.2394,0.1686,0.079,0.1989,0.1199,0.064
0.08,0.2241,0.144,0.12,0.264,0.144,0.1199,0.3359,0.216,0.128,0.4481,0.3201,0.1519,0.4239,0.272,0.072,0.1921,0.1201,0.0719,0.4719,0.4,0.08,0.184,0.104,0.072
0.104,0.24,0.136,0.1041,0.304,0.2,0.0879,0.3365,0.2486,0.1194,0.3834,0.264,0.1279,0.28,0.1521,0.08,0.208,0.128,0.064,0.216,0.152,0.0719,0.2,0.1281,0.0719
0.1117,0.1916,0.0799,0.1029,0.2838,0.181,0.1213,0.6078,0.4865,0.1141,0.4116,0.2975,0.113,0.3666,0.2536,0.0654,0.2017,0.1363,0.0971,0.392,0.2949,0.0904,0.1757,0.0853,0.0804
0.1018,0.1664,0.0646,0.1103,0.2724,0.162,0.1074,0.3591,0.2517,0.0778,0.3387,0.2608,0.1047,0.3379,0.2332,0.0831,0.1825,0.0994,0.0947,0.309,0.2144,0.0961,0.2014,0.1054,0.0907
0.1084,0.1842,0.0758,0.1042,0.2702,0.1659,0.1158,0.3922,0.2764,0.0916,0.3443,0.2526,0.0966,0.2527,0.1562,0.0832,0.2464,0.1632,0.1062,0.2881,0.1819,0.0752,0.1813,0.1061,0.0787
0.1099,0.1905,0.0806,0.106,0.2385,0.1324,0.1163,0.3054,0.1892,0.1105,0.3889,0.2785,0.0993,0.2776,0.1783,0.092,0.252,0.16,0.1058,0.2849,0.1791,0.0932,0.2136,0.1203,0.0972
0.1154,0.1996,0.0842,0.1062,0.2523,0.1462,0.1257,0.3443,0.2186,0.106,0.3693,0.2632,0.1008,0.3361,0.2353,0.0785,0.1779,0.0994,0.0814,0.2434,0.162,0.083,0.1788,0.0958,0.0795
0.1114,0.2323,0.1209,0.0868,0.2545,0.1677,0.0966,0.3532,0.2567,0.1192,0.4065,0.2873,0.1127,0.3535,0.2408,0.0786,0.2305,0.1519,0.112,0.224,0.112,0.08,0.2326,0.1527,0.0719
0.1198,0.1757,0.0559,0.0804,0.2412,0.1608,0.103,0.2548,0.1518,0.096,0.2971,0.2011,0.1035,0.2643,0.1609,0.0791,0.184,0.1049,0.0953,0.176,0.0806,0.0874,0.1826,0.0952,0.072
